location,people_fully_vaccinated_per_hundred,new_cases_smoothed_per_million,predicted_cases_per_million,residual
Niue,58.18,30.99,347.82,-316.83
North Macedonia,23.93,153.55,153.25,0.3
Norway,52.64,386.95,316.39,70.57
Oman,24.74,99.77,157.87,-58.1
Pakistan,38.44,4.71,235.72,-231.0
Palestine,14.46,188.05,99.46,88.59
Panama,43.64,217.03,265.25,-48.22
Papua New Guinea,2.35,4.14,30.69,-26.55
Paraguay,14.96,202.24,102.34,99.9
Peru,63.91,94.93,380.37,-285.44
Philippines,27.69,66.6,174.65,-108.05
Pitcairn,85.11,0.0,500.81,-500.81
Poland,47.88,126.08,289.33,-163.25
Portugal,69.78,501.52,413.75,87.77
Qatar,66.75,103.3,396.51,-293.22
Romania,26.69,229.37,168.93,60.45
Russia,32.44,177.19,201.6,-24.41
Rwanda,31.31,15.79,195.17,-179.38
Saint Helena,28.72,0.0,180.49,-180.49
Saint Kitts and Nevis,42.58,382.4,259.22,123.19
Saint Lucia,21.37,291.45,138.74,152.71
Saint Vincent and the Grenadines,23.69,135.7,151.9,-16.21
Samoa,50.08,134.3,301.81,-167.51
San Marino,41.28,961.3,251.84,709.46
Sao Tome and Principe,24.57,36.01,156.94,-120.93
Saudi Arabia,48.73,32.41,294.16,-261.75
Senegal,4.83,6.24,44.76,-38.52
Serbia,33.51,536.88,207.7,329.18
Seychelles,53.04,496.9,318.62,178.28
Sierra Leone,20.04,0.34,131.16,-130.82
Singapore,66.93,500.8,397.54,103.26
Sint Maarten (Dutch part),50.55,491.97,304.51,187.46
Slovakia,32.17,453.27,200.09,253.18
Slovenia,38.0,811.79,233.19,578.6
Solomon Islands,12.65,45.78,89.22,-43.44
Somalia,8.12,1.41,63.47,-62.06
South Africa,23.92,47.28,153.2,-105.92
South Korea,64.47,740.34,383.57,356.77
South Sudan,10.99,0.85,79.74,-78.89
Spain,53.19,402.28,319.47,82.81
Sri Lanka,43.19,68.04,262.67,-194.63
Sudan,6.78,1.58,55.87,-54.29
Suriname,21.47,311.35,139.31,172.05
Sweden,54.42,264.19,326.49,-62.3
Syria,5.85,2.83,50.6,-47.77
Tajikistan,21.26,1.62,138.09,-136.47
Tanzania,18.42,2.0,121.96,-119.95
Thailand,46.64,116.86,282.29,-165.43
Togo,10.63,6.24,77.71,-71.47
Tokelau,73.06,0.0,432.37,-432.37
Tonga,43.06,189.33,261.94,-72.61
Trinidad and Tobago,34.15,230.73,211.33,19.4
Tunisia,30.55,153.6,190.87,-37.27
Turkey,45.5,272.07,275.8,-3.73
Turkmenistan,42.24,0.0,257.32,-257.32
Turks and Caicos Islands,52.8,82.97,317.3,-234.33
Tuvalu,57.2,19.02,342.26,-323.23
Uganda,14.42,1.78,99.27,-97.49
Ukraine,14.0,224.79,96.87,127.92
United Arab Emirates,88.1,100.96,517.82,-416.85
United Kingdom,54.5,499.47,326.93,172.54
United States,54.7,295.98,328.08,-32.1
Uruguay,68.75,409.63,407.89,1.74
Uzbekistan,29.14,8.04,182.88,-174.84
Vanuatu,20.87,74.54,135.9,-61.36
Venezuela,25.33,39.4,161.23,-121.83
Vietnam,39.2,233.24,240.04,-6.8
Wallis and Futuna,41.77,917.79,254.62,663.17
Yemen,1.44,0.27,25.51,-25.24
Zambia,8.69,29.77,66.72,-36.94
Zimbabwe,16.03,25.45,108.38,-82.93
